CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
615,83,4,114424.9012898235,2,1,0,165912.43997158814,1
313,57,2,52220.68100129093,2,1,0,84530.73788947394,1
541,34,0,92176.7927161988,3,1,1,95034.85247015176,0
645,18,7,92453.31399679415,1,0,0,148700.32700536368,0
639,78,4,13088.7550468681,3,1,0,77973.40502580571,1
391,60,2,191891.90712947957,2,1,0,22141.178989191027,1
666,59,9,104126.10797596975,3,1,0,24123.57568835358,1
754,42,6,205544.97170410582,2,1,0,31918.932248083736,1
727,56,6,212587.00027997384,3,1,0,175239.45143529592,0
808,52,0,52998.513674664515,3,1,0,99723.02089367883,1
334,20,8,164338.37054253215,1,1,1,145447.65017549993,0
505,61,1,118070.45104074542,3,0,1,84652.77376492972,0
380,68,4,220039.18448037127,1,0,0,59155.08000897055,0
687,29,4,53935.16979411353,1,0,0,75966.51183682027,0
301,36,7,169453.30007751106,1,0,1,160894.64561026488,1
689,61,7,151938.03056318066,1,0,1,128791.06375597326,1
405,76,6,73825.3693929582,3,0,1,188151.5581920014,1
776,66,6,34150.225912793154,2,1,1,139143.90792959847,1
701,78,5,162909.94011931913,2,1,1,118334.51003339185,0
461,34,5,184649.36453308267,2,0,0,125937.24170730855,0
501,74,8,78906.8359408375,3,1,1,189050.57349899877,0
569,72,5,161208.15100557846,1,0,1,159758.17667467415,1
570,64,1,98782.72690287582,2,1,1,14567.835099623186,0
755,29,1,178301.72082065442,3,1,0,111486.54226578247,0
761,79,4,49803.81872351328,1,1,0,140784.29819384732,0
551,25,3,222553.75065904358,2,1,0,152252.71090343947,0
595,38,1,71852.39911639494,1,1,0,50497.00266964797,1
637,87,2,91946.49693903822,2,1,0,174763.69734575693,0
352,89,6,14522.988020087447,2,0,0,191610.1979632811,0
516,42,7,27878.0530803191,2,0,1,54975.908110525255,1
487,29,5,128965.47567808203,1,1,0,177696.9369282767,1
679,32,4,66898.16918199287,3,0,0,28425.964878058123,1
792,76,0,208870.05643554858,1,1,1,20584.298861896583,0
340,43,7,3673.3471637384605,2,0,0,34552.52201952238,0
456,43,2,94773.51216798405,1,1,1,20970.80509873684,0
314,64,5,84336.38669227317,3,0,1,170552.3250595974,0
364,49,2,4831.907729400259,1,1,0,21219.52744707167,1
820,27,6,31092.099750127556,3,0,1,61616.196359094545,0
643,33,6,103410.66872965882,3,1,1,29713.705271812712,0
428,88,8,123216.14611186166,1,0,1,66130.18689961534,1
771,34,4,101072.43681371727,2,1,1,27206.298844174893,1
362,40,7,132734.41960302345,3,1,0,136920.61764117266,1
438,43,9,148782.91872642038,1,1,1,35332.095105089276,0
798,24,9,2480.9552819589076,3,0,0,171850.72590938868,0
691,31,7,116023.78986337598,2,0,1,165266.29963806178,0
718,24,0,240874.8102218971,1,0,1,12595.72023941579,0
588,26,4,129758.07003238719,1,1,1,180188.00754787176,0
678,65,2,169385.5668647383,1,0,0,15499.42018123974,1
789,89,0,77965.9644792208,2,1,0,55532.69914193576,1
530,76,3,193497.84453819063,3,0,0,16153.93617743906,0
340,56,7,193230.37046902877,1,0,1,73810.26253747003,0
327,35,2,130324.01191353473,3,0,1,107634.63988552161,0
434,76,9,244003.4558198034,3,0,1,161362.52511287623,0
500,34,1,31387.553690663346,2,1,1,74216.49458926887,0
332,31,8,4236.916222395248,1,0,0,144043.1046878922,1
347,48,9,192539.552939274,3,0,1,45625.846852606264,1
802,41,4,201788.88434122063,1,1,0,152613.706781384,1
706,77,6,30051.80728014406,1,1,1,54839.355122755136,0
398,62,1,66395.70823965152,2,0,0,37273.50362931591,0
846,20,8,4388.090841657227,1,0,0,45227.681571070316,1
761,54,8,73327.15269514118,1,1,1,44591.994487552525,1
304,60,3,193285.46847966788,3,1,1,107443.94708162831,0
517,57,3,129490.13192814474,2,1,0,170511.54042574775,1
802,72,5,87023.89829207202,1,0,1,25124.96462857607,1
697,56,9,92934.82372658257,3,0,1,144321.70051375031,0
692,32,9,338.4064288670385,2,0,0,134325.82733404296,1
506,21,9,74950.13189130898,2,1,0,175778.79084757884,1
314,42,5,161614.68540948263,3,1,0,56388.03649631237,1
760,30,0,243548.61095408926,3,1,0,95520.87315015563,0
540,50,8,211765.20674597487,3,0,1,185907.2011442683,1
395,33,1,5898.7411613822815,3,1,0,135398.75552571026,1
784,59,4,224640.15116870982,3,0,0,83865.99844370341,1
706,83,8,195799.6033246565,1,1,0,34968.35274250101,0
530,72,3,195094.0308927451,1,0,1,59872.1515011123,0
470,59,2,114498.93975089287,2,0,0,120430.94072298282,1
840,51,6,99501.3232386257,1,1,1,146451.9100364976,0
335,47,5,75728.93220829815,1,0,0,33640.15850185976,1
824,30,7,16423.714738591443,1,1,0,123923.47940837026,0
459,30,2,57058.84087342478,3,0,1,114566.7429793627,0
542,35,4,61650.90874450615,2,1,0,107651.53487123453,1
385,49,9,121019.2674275504,2,1,0,141123.3923595815,1
327,56,3,186861.1016491735,2,0,1,169115.42306585776,1
639,63,3,118452.45709948665,2,1,0,71368.039803605,0
630,46,3,14461.112361790152,1,0,0,178912.3161210823,1
805,79,9,239447.45024705096,1,1,0,40520.386397524635,0
647,79,7,235681.07977352806,3,1,0,42874.53525272122,0
772,74,5,196297.3857871021,2,1,1,60686.69208854555,1
530,33,2,247831.97539105514,1,1,0,32710.865213944784,0
489,73,9,136120.58320006574,1,0,1,53760.65268974674,1
524,27,4,240692.08756330152,3,1,0,30218.234951540475,0
684,47,5,18901.260154187694,3,1,1,166132.95922722417,1
676,42,4,91420.18706534283,3,0,0,36404.10845845867,0
582,22,5,56345.31700169146,1,0,1,151986.5359363728,0
558,82,7,48958.27103356751,1,0,0,19103.634903533413,1
658,66,6,35200.737223169024,3,0,1,190218.86222764387,0
755,20,4,155603.41039149917,2,0,1,145120.41663027558,1
710,62,9,195330.46393682627,3,0,0,11291.34423136124,0
617,31,5,144574.59985509017,3,1,1,155132.73503804067,0
524,47,3,36740.677397052415,3,0,0,107675.56494557521,0
533,85,8,202780.94248336772,3,1,0,158079.38236367275,1
673,35,3,158988.67679093214,1,0,0,109274.3936892118,1
771,79,0,97041.42653174888,2,1,0,131794.72295071738,1
532,54,6,168532.57388401573,3,1,0,159403.0145250577,1
412,42,6,64976.24481070821,2,1,1,86970.53037169277,1
796,65,3,86298.05212355262,2,0,0,10514.548465885897,0
741,82,2,229371.46078299754,2,0,0,171489.8342295858,0
567,70,7,72626.12641785509,3,0,0,82369.1688986859,1
809,32,4,117497.06703948414,1,0,0,104248.11794315078,0
685,66,9,222535.28434900366,3,1,0,11475.662009254056,0
686,85,6,176930.33756688188,2,0,0,103497.48196651862,0
412,29,3,15550.806541175689,2,1,1,197432.6062986286,0
380,76,3,36825.761069742584,1,1,1,62870.85555556623,1
412,54,7,1960.3976929792045,3,0,0,85129.47134605184,0
301,78,7,157730.44755729084,2,0,1,140566.09932904856,1
519,60,1,111918.35635260458,1,0,0,164810.79682949514,1
524,87,1,33568.71272556888,2,1,0,89304.40856115906,0
684,56,2,239483.5302641926,1,0,0,68837.08537624558,1
702,73,2,132414.93098640497,1,1,0,188186.90199716276,0
429,80,0,60473.323528222296,3,0,0,138657.54366761714,0
352,63,2,125150.8927886769,2,1,1,32614.047853696804,0
715,28,5,169905.08318377694,3,0,1,23096.296845583238,1
546,79,7,19059.80449339112,2,0,1,101874.47165017012,1
738,42,9,68675.953761973,3,1,1,51817.112548981764,1
502,88,5,201741.3727209984,2,0,0,58257.10314148816,0
483,69,4,114916.21760066532,3,0,1,176761.51397729115,0
422,21,3,136644.28550807372,1,0,0,27017.544620099026,0
700,76,2,108204.00055236732,2,0,1,145919.18189348903,1
593,89,3,10974.98566075128,2,0,1,61517.028142311734,0
579,37,6,41437.44495503898,1,0,1,154462.36206678615,0
497,80,0,111385.40968547272,3,0,1,147258.16304807347,1
810,71,6,52296.36635198195,2,1,0,11404.461274415675,1
443,74,0,12494.757164919683,2,1,1,106735.72845510383,1
500,58,1,210912.41601295595,3,0,1,36470.701651828815,0
423,20,3,245298.13229102895,1,0,0,174583.13580994858,0
486,23,0,198285.71849918485,3,0,0,175601.31774385725,0
625,22,8,213446.23042616676,3,1,1,89485.70342381403,1
763,22,5,60494.282579261344,3,1,0,94435.1675057053,1
648,71,0,240156.74387829995,2,0,0,67623.75848686014,1
702,64,0,49231.4261133571,1,1,0,146155.1968024059,1
645,66,5,237857.45259045807,1,0,1,78145.65897502724,0
810,26,3,248704.82349148777,3,0,0,60880.57015930042,0
446,37,3,177930.70143651217,2,0,1,92123.90130585656,0
447,78,5,245285.93294795547,3,0,1,27382.628493617158,0
788,52,6,142384.94489177593,2,1,1,151854.60888239872,0
637,67,8,64885.445794022584,2,1,1,12393.316241639523,0
772,79,9,109248.97141640521,2,0,0,132452.16168891283,0
450,34,4,148390.2338446965,2,1,1,44744.26008342576,0
714,20,8,18270.39050675375,1,1,0,54156.768780738494,1
597,49,3,155585.81615431153,2,0,1,130770.0797416076,1
562,30,9,245294.45919057363,2,1,0,198659.25849875237,0
443,85,1,47526.91244593191,3,0,1,157766.32292378464,1
645,31,2,198148.77907209581,3,0,0,52909.53012244448,0
301,28,0,226974.69844490485,1,0,1,43444.70345781542,0
603,73,5,235925.39820505521,3,0,1,174584.24535085738,1
553,84,5,240033.90110136181,2,1,0,94394.95010508581,0
752,46,0,130364.90968036799,3,0,1,36040.032537349536,0
336,26,2,244326.97699787593,1,1,1,173820.17043116826,0
459,84,4,189327.55178360973,3,0,1,165057.54705370966,0
308,42,2,40417.85905924047,3,0,0,196942.20914046108,0
532,59,9,119225.0266169925,1,1,1,182851.30047540995,0
398,26,2,179582.79384300098,1,0,1,171840.1643455029,0
507,57,9,61835.078954770834,2,1,0,19989.135584090596,1
430,42,2,160153.79588722184,3,1,0,29838.920204642425,1
703,22,4,166650.11976165482,2,0,0,118106.80691778334,0
451,28,4,40674.93595214147,3,0,0,110981.05679354597,1
353,76,3,141271.32811318908,3,0,0,97013.01075301174,0
419,55,0,192906.72774465193,2,0,1,85389.971828771,0
719,89,4,124723.91613398548,3,0,1,91929.9921242225,0
721,22,9,3025.779194026856,3,0,1,118166.6074856111,0
403,65,4,2259.6172698230444,3,1,0,10394.53834401543,1
553,35,3,89257.33599250304,1,1,1,59534.66708524192,1
526,87,5,231548.5171079455,2,0,0,108473.1469308551,1
411,54,9,57169.19490090219,1,1,0,147221.0587479928,1
809,77,3,158590.9222179218,2,1,1,43089.771555125306,0
772,65,6,55518.967673330146,2,0,0,113907.42301961227,1
398,45,6,80417.49741488716,3,0,0,145747.33993829854,0
452,86,1,212010.522400371,2,1,1,94479.25500364188,0
637,57,2,182215.36056748673,1,0,0,15145.415397309698,1
462,62,0,23849.819328302656,1,1,0,95360.95010847098,0
460,79,7,107175.5052466084,1,0,1,66324.5286713891,1
697,75,8,7292.440911316117,2,1,0,186633.42546325238,1
576,84,3,120222.53665075226,1,1,0,33676.5432788822,1
803,73,5,165608.502925267,2,1,1,133970.4315463741,1
691,57,8,29625.65589953789,1,1,1,20016.75560355522,1
434,57,5,72221.23472729142,1,0,1,94772.38318441233,0
494,50,8,99459.15637553923,2,0,1,115256.10257181531,1
700,23,3,229882.75616401245,1,1,0,66611.43695020443,1
332,36,7,248313.753855741,3,1,0,96464.37074887304,0
759,57,8,11227.824748903964,2,0,1,41075.220960735605,1
769,76,3,190251.98087384802,2,0,0,67783.53139892686,1
674,76,4,92931.0166005858,2,1,0,128010.20173293857,0
321,65,7,98114.54655737,3,1,1,67342.01061361947,0
337,58,9,188566.24333675567,2,1,1,180951.18489768563,1
529,30,5,229606.60803635215,1,1,0,129397.32195178805,0
664,62,6,237732.1486256371,1,1,1,93343.31350283705,1
737,70,2,144280.6465095802,1,0,1,17363.81775529467,0
582,59,6,89280.2898251257,2,1,1,104914.18368888754,1
326,80,7,196887.27146469482,1,0,0,155307.48600376694,1
525,44,9,62750.34581557506,2,0,1,60455.94362235859,1
576,55,5,141018.50720837945,1,0,0,163286.9782332658,0
583,77,9,89644.61538121829,3,1,0,57843.28554966748,1
780,24,8,164157.76842696904,3,0,0,166511.8137106521,0
752,22,5,60099.728223376726,3,0,1,26200.984906218706,1
815,62,8,47898.23643370644,3,0,1,174574.90468511562,1
846,75,3,229559.77166885926,2,0,1,104845.4256773328,1
491,48,7,25450.920737384226,1,1,1,66342.14202784978,1
348,40,3,126489.47693373292,3,1,1,60371.517578878265,1
811,59,1,55213.19574075223,2,0,0,92082.00619676891,0
316,27,9,9732.490831416862,3,0,0,199819.40463969254,0
471,49,8,9004.704572856597,3,1,0,51862.204753140686,0
519,70,4,43805.44302645684,2,1,1,29611.163287009927,1
457,47,3,216692.58862650007,2,1,0,121156.68205654576,1
776,56,1,70619.68599425667,1,0,0,102823.06862364885,0
345,48,0,237614.79264382392,1,1,1,109597.2915020284,1
672,19,6,145405.5732472984,3,0,1,136717.72933587123,1
817,29,5,109153.54744219153,3,0,0,60757.37327542337,1
398,56,1,145022.20866736365,1,1,0,183026.34912293882,0
336,83,7,129174.59630656693,1,0,1,92777.69256323516,0
579,30,3,189694.06343933128,2,1,1,34526.37707706774,0
648,63,7,70624.01649321307,1,0,1,151036.76377944942,0
796,44,6,88262.59790007559,1,1,1,132189.82699739153,0
601,34,4,223523.5756333127,3,0,0,69991.24647196705,1
480,77,9,236614.12828760137,1,0,0,128088.55756646922,1
398,81,9,223139.55687161864,3,1,1,51773.771710105604,1
415,52,7,104861.9984893284,1,1,0,94519.47827470061,1
490,87,8,195091.37575172042,2,1,0,180888.3792117918,0
552,47,4,119083.9333252747,1,1,1,35371.504300542394,0
460,88,9,124384.96303652554,1,0,0,83472.32549761779,1
555,80,4,51170.02726432099,1,1,0,166017.06069686598,0
622,45,1,147782.57581462912,3,1,0,194203.27088717386,1
427,77,4,46533.97443833698,2,0,1,96245.96592014123,1
317,54,2,82891.17476679845,1,1,1,106329.92782723601,1
622,39,6,213757.55040498378,3,1,0,118712.67273891624,1
587,85,9,51768.952302713806,2,0,1,187146.14691040505,0
454,37,4,17789.571293358204,3,1,1,173059.29028563565,1
789,85,7,17251.898153204074,3,1,1,42414.21367811243,0
685,81,0,235196.13012577698,2,1,0,92983.98539094425,1
403,34,2,126730.10949045865,1,1,0,98160.08135732099,1
692,29,2,102353.01795425458,3,1,1,159928.2612132638,1
545,39,8,202719.64525197961,3,1,0,124549.6476950327,1
475,34,4,208956.481977629,1,0,0,134301.88778551246,0
338,27,8,83047.75827890115,1,1,0,199657.98245646735,1
776,82,8,173404.5143684488,2,0,0,24242.40825930248,0
837,39,0,192780.70396297163,2,0,0,52371.86647140927,1
707,67,1,163662.67171648864,2,0,1,87500.2281005939,1
824,31,4,37898.76870002484,1,0,0,76078.65657928857,1
805,81,3,218970.77087926425,3,1,0,14112.656655926883,0
335,64,9,134773.63818400216,3,1,0,27437.745229523407,1
319,46,8,70618.10659250092,2,1,1,139381.12536667948,1
620,53,6,106307.04635942348,1,0,1,177071.64803888652,1
811,69,5,9392.772599726844,3,1,1,107703.13214053574,1
699,24,6,31966.70030560439,2,1,0,112446.30510759026,1
770,46,0,191386.6876289652,3,1,1,58467.75223815208,0
442,28,0,2.9086888415352785,3,0,1,155896.50909040516,0
391,50,7,104141.45712057305,1,0,1,152840.9715997787,1
653,23,1,130627.54527139712,1,1,1,121789.48095135477,1
350,49,9,13658.605000243073,3,0,0,50406.21443715514,0
489,68,8,243269.5407430832,2,0,1,28433.461465046996,1
424,75,6,56531.33281241798,1,1,1,22205.32941285392,0
449,43,5,76049.67990907021,3,0,0,122612.25266214677,1
613,63,0,75985.62806375683,1,0,0,166756.710637132,1
641,46,0,57604.16552933748,1,1,1,173082.7820383757,0
604,21,1,368.455521577854,1,0,0,98088.19412525547,1
353,30,5,182336.1985219991,3,0,1,159011.5468682762,0
743,56,5,241711.37494982133,2,0,0,189907.2373047945,0
563,32,1,56073.37082126126,2,0,0,62282.32137273292,0
352,46,0,165761.7979508556,2,0,1,85612.46581234386,1
304,46,9,185474.08173967878,1,0,0,186981.00859336933,0
402,49,4,212106.3447726312,3,0,1,74263.88379028413,0
495,19,4,105657.29925340228,1,0,0,183636.4951611413,1
649,64,1,75732.72641010731,2,1,1,196398.5238283485,1
346,39,5,81323.78350575778,2,1,0,135744.0384291407,1
568,44,8,178155.3332746282,3,1,0,165209.15500579198,1
669,84,1,204194.866626409,1,1,0,152413.6572020062,1
405,73,9,45403.49193915066,2,0,0,142911.50894694953,1
419,38,1,92735.2520394413,3,1,0,68316.90386643418,0
357,64,2,225485.0491872875,1,1,1,20847.924202509304,1
645,76,6,201673.3799236848,1,0,0,75179.8291787336,0
773,23,5,246214.60069061894,2,0,1,136717.83718874224,1
416,36,7,188562.06492052018,2,0,1,29480.54766328226,0
426,74,7,98298.80025698057,1,0,1,12264.416765865997,0
692,86,5,147659.45849865943,1,0,0,36541.550794558345,1
357,20,9,165253.5635618301,2,1,1,145989.8260180511,1
812,18,2,19613.954079280986,1,0,0,194830.80331472436,0
395,75,2,136124.23977596627,2,1,1,196782.2929268159,1
417,55,0,177330.2071181524,1,1,1,103856.0383366357,1
787,32,6,41830.32600026509,2,0,1,175176.937188546,0
536,51,4,195157.9293563893,3,1,1,149997.02659278578,0
571,78,3,145943.1951285279,2,1,1,105197.64502707466,0
488,52,9,238055.44642439866,2,0,0,118824.50126146649,1
746,81,3,10605.574551722924,3,1,1,36073.1578572055,1
546,42,3,66331.53438886674,1,1,1,188155.67751715248,1
375,41,5,150388.46982495603,3,1,0,76866.65643903759,1
453,29,7,74139.97805148267,2,0,0,94768.3587268622,0
734,35,7,178606.04101781055,1,0,0,137615.44388960075,1
385,32,4,189751.32063048275,3,0,1,73441.46959004525,0
584,44,5,25628.991016618613,1,1,1,58309.2405878968,1
519,89,3,128463.61605169193,1,0,1,129899.3847213419,1
368,77,8,127222.63889776397,3,1,1,14746.975633551396,0
346,63,7,92320.19255388527,1,0,1,146937.771285069,1
393,34,9,233231.215642418,3,1,1,107664.44027653686,1
752,70,9,206876.5799683053,2,0,0,125093.20879897753,0
503,25,0,174302.3454774092,1,0,0,130057.23025690817,1
517,44,1,178581.6589337494,2,1,1,110139.5297335871,0
773,63,8,115429.03595327977,2,0,1,120681.41771373984,0
731,67,7,230248.63027414397,1,1,1,139919.75816907617,0
640,88,2,173648.85681332136,3,0,1,153092.5809641381,0
588,20,7,182245.2654139541,1,0,1,148215.9543443629,1
553,81,0,215422.72594683632,2,1,0,175227.12696912972,1
656,61,9,68517.89733554775,2,1,0,45994.252301806526,1
322,70,3,201767.72596667576,3,1,1,86218.11420344154,0
821,41,2,48810.15073912301,1,0,0,190081.25254274684,1
399,77,5,86335.48806122196,2,1,1,85352.20913340265,1
479,20,6,83902.61356746068,2,0,1,33725.31461212531,1
522,37,3,244631.36709728514,2,1,1,109834.57400881412,1
741,63,6,214134.30593698172,3,1,0,30803.284785347812,0
624,32,8,175292.46539756493,2,1,0,48542.11535829439,0
815,42,1,181764.19040384752,2,1,1,199680.56374848177,1
315,88,2,140518.19860064276,1,1,0,112858.90129526508,0
635,34,4,236772.66677712978,1,1,0,63971.093917681515,1
557,26,2,124064.68822059038,2,0,1,199007.24136904217,1
796,55,7,95129.42746747364,2,1,0,193646.1945254772,1
459,65,9,40758.83423289775,1,0,0,93740.41780601007,0
774,77,7,196551.4130652645,3,1,1,59476.59066970259,1
679,80,7,183610.98301889785,3,1,1,169295.9312375161,0
844,19,8,96088.75963103372,3,1,0,145967.9362246393,0
726,89,3,6298.35348980734,3,0,1,140518.87265066698,1
567,28,4,209749.3319295027,3,0,0,179691.6108512698,0
716,81,4,2854.495863518408,3,1,1,140989.2554355517,0
467,89,7,175924.94490726275,3,0,1,63921.60917789434,1
342,38,6,242564.27743151426,3,1,1,141834.00075638914,0
584,35,8,109415.33203705087,1,1,1,68104.56714389616,0
696,81,7,58743.35124898819,3,0,0,154255.40613482907,1
311,55,1,176217.75251084543,3,0,1,127752.09235339754,1
601,49,9,204282.03550389627,3,0,1,24708.19487710261,0
552,28,3,136607.57901946182,2,0,1,107438.718862677,1
798,62,5,241758.81881403655,1,1,0,75227.18414719077,1
334,50,1,12917.180414490276,1,0,0,72428.4202191359,0
389,58,6,126198.89957613204,1,0,1,124428.69745167888,0
717,25,2,179613.48683063753,3,1,1,71241.71664919073,1
414,28,2,215660.11778729473,3,0,1,157609.8121589258,0
495,68,1,44813.90297694751,2,0,1,23450.372842123143,1
800,58,7,200000.87044092035,1,0,1,135473.76795520683,1
792,34,5,138176.7689296363,3,0,1,163747.01269478083,0
374,63,0,99138.4204974908,1,1,0,137838.0210848817,0
712,49,0,32928.75714477339,2,1,1,104473.5470537992,1
675,71,6,216323.9397272281,2,0,1,190558.33260987443,1
719,37,7,39318.30204492884,2,0,1,66988.31306163209,1
576,50,4,77446.96480227482,1,1,1,13641.898629745778,1
693,57,4,72511.38299060921,3,0,1,92077.98057805376,0
756,49,3,217853.50854771357,3,0,1,16272.267821062178,1
491,19,5,168175.7485522245,2,0,0,191247.98298001767,0
398,50,5,199170.3492978431,3,0,0,49884.42869212979,0
847,47,2,62616.974698124744,2,0,0,159896.1345502871,1
395,50,8,156218.52490174974,1,0,0,157168.69580312932,0
489,43,6,142936.49578593718,2,0,0,51368.49093975737,0
336,39,0,208207.59419706778,1,0,0,128033.04079123179,1
668,83,6,226521.76512031513,2,0,1,19135.00401242554,0
824,55,4,3039.1928693467016,3,1,1,101879.17128373482,0
578,63,4,168504.97976469816,3,1,1,12782.95418177248,1
516,32,1,12958.949779932254,2,1,1,185017.33723435993,1
572,61,3,137214.66626933898,3,0,1,195456.34459791862,1
361,66,5,71908.18226091955,3,0,1,52233.7256613312,1
641,78,9,76694.1498805353,3,1,0,49540.14657331083,1
696,84,6,88239.62586308914,1,0,1,153206.83354680464,1
318,23,4,155323.11226240252,3,1,0,58142.08577757355,1
476,26,8,83512.4914171923,1,0,0,180064.54624075055,0
695,23,2,183174.7626475701,2,1,1,119046.53586336663,0
744,49,0,101131.84639346742,3,1,1,76647.7483719593,1
532,58,3,17088.300077489654,3,1,1,168211.8118063898,0
375,25,8,195939.9606210268,3,0,1,103747.27307854508,0
564,89,3,71439.5811481765,2,1,1,183210.25360461036,1
754,67,1,108191.71989981565,1,0,1,186322.7049785824,0
683,79,9,171360.97080547537,1,0,1,41429.82890439777,1
805,79,4,83114.039287178,3,0,0,10441.447165066751,0
666,24,2,14146.414036678905,2,0,1,196946.87862705643,1
443,21,8,93480.26175320339,2,0,1,182166.13186422107,0
368,23,3,236112.14567357587,2,0,0,20534.594783729866,0
398,75,5,160433.59932463954,2,0,1,168276.5101488033,0
695,39,1,167869.78716680172,2,1,1,96982.93718624926,1
324,43,5,158070.53840940996,1,1,0,59202.70495474529,0
768,20,2,49748.0347398592,1,1,1,176961.83949861667,0
783,58,8,104583.46602557003,1,0,1,47366.77415415838,1
450,77,1,187734.94959082955,3,0,1,189986.99988981272,1
443,31,8,25343.224388289786,2,0,1,49068.082662874804,0
338,29,4,69463.19402242807,3,0,1,126599.80566846127,0
408,29,7,69079.7771164634,2,1,1,52386.40356050523,0
341,30,1,108004.7318986265,1,0,0,113677.0463440406,0
485,42,5,245092.18523554626,3,1,1,139955.27468387684,1
697,62,2,16875.636670955486,1,0,1,46143.30685582614,0
522,36,9,129675.24859514876,2,1,0,108968.29871312904,0
432,72,4,44841.170503052614,2,0,0,99121.35143412261,1
462,62,7,242669.13635243603,2,1,1,23497.110066634836,0
514,25,9,28325.87618186605,1,0,0,165478.48535830755,0
534,70,0,100900.25059039782,2,1,1,73779.65612213992,0
308,72,4,184471.24620865154,1,0,1,119170.61753485711,1
373,49,2,176138.60700686133,3,1,0,107809.00463729554,1
791,68,3,105682.15922348306,2,1,1,107519.49586838402,0
552,61,1,86631.04198817955,2,0,1,30372.254899612613,0
529,87,8,99403.09463821765,2,1,0,90461.58175737322,1
818,35,2,66069.06578965981,3,0,0,95949.68424924834,0
473,39,1,51333.234676699954,2,0,0,149392.13966924523,0
467,54,9,120759.9243897225,1,0,0,169603.57806493272,1
469,73,8,67133.43901690183,1,1,1,113546.63283900342,1
692,76,6,71865.41622431253,2,1,0,26488.76127234819,1
493,20,5,164189.01586863925,2,0,0,55001.39941334379,0
816,45,0,242134.33292497305,3,0,0,41337.465102018905,0
328,52,4,150909.30013984378,3,1,0,33676.8620059337,0
464,78,2,19244.86676624157,3,1,0,79520.86673738343,0
721,71,0,18895.903463516745,2,1,1,53584.765409332584,1
638,80,3,237855.8052113915,3,0,0,51477.59124418734,0
795,24,1,74322.69757683341,3,0,1,20391.703169490855,0
664,66,1,23016.746520618857,1,0,0,13357.308511132438,1
641,48,2,149761.14678759538,3,0,0,29525.96610345854,1
799,75,7,155912.1945725665,1,0,0,42717.52109049028,0
810,78,7,162126.20502967204,1,1,0,91886.90848115859,1
626,41,6,66850.50696438532,3,0,0,106998.84964678048,1
516,37,5,3777.6710536187584,1,1,0,36712.46445293946,0
600,54,8,241253.84236361797,2,1,0,90708.8348895954,0
431,21,3,62723.26142277562,2,0,0,74932.28004192619,0
369,37,0,169006.57201313687,3,1,1,44850.49226461165,0
551,77,7,176657.4674696774,2,0,0,11299.742148189074,1
714,41,6,152501.85426987143,1,1,1,98733.39463913093,1
